English Term,French Translation,Spanish Translation,German Translation,Arabic Translation
Stethoscope,Stéthoscope,Estetoscopio,Stethoskop,سماعة طبية
Blood Pressure Monitor,Tensiomètre,Monitor de presión arterial,Blutdruckmessgerät,جهاز قياس ضغط الدم
ECG Machine,Électrocardiographe,Máquina de ECG,EKG-Gerät,جهاز تخطيط القلب
Defibrillator,Défibrillateur,Desfibrilador,Defibrillator,جهاز إزالة الرجفان
Pulse Oximeter,Oxymètre de pouls,Oxímetro de pulso,Pulsoximeter,مقياس التأكسج النبضي
Thermometer,Thermomètre,Termómetro,Thermometer,ميزان الحرارة
Ventilator,Ventilateur,Ventilador,Beatmungsgerät,جهاز التنفس الصناعي
Surgical Mask,Masque chirurgical,Mascarilla quirúrgica,Chirurgische Maske,قناع جراحي
N95 Respirator,Respirateur N95,Respirador N95,N95-Atemschutzmaske,كمامة N95
Medical Gloves,Gants médicaux,Guantes médicos,Medizinische Handschuhe,قفازات طبية
Surgical Gown,Blouse chirurgicale,Bata quirúrgica,Operationskittel,رداء جراحي
Face Shield,Écran facial,Protector facial,Gesichtsschutz,واقي الوجه
Hospital Bed,Lit d'hôpital,Cama de hospital,Krankenhausbett,سرير المستشفى
Wheelchair,Fauteuil roulant,Silla de ruedas,Rollstuhl,كرسي متحرك
Walker,Déambulateur,Andador,Rollator,مشاية طبية
Crutches,Béquilles,Muletas,Krücken,عكازات
Infusion Pump,Pompe à perfusion,Bomba de infusión,Infusionspumpe,مضخة التسريب
Syringe,Seringue,Jeringa,Spritze,محقنة
Catheter,Cathéter,Catéter,Katheter,قسطرة
Ultrasound Machine,Appareil à ultrasons,Máquina de ultrasonido,Ultraschallgerät,جهاز الموجات فوق الصوتية
MRI Scanner,Appareil IRM,Escáner de resonancia magnética,MRT-Gerät,جهاز التصوير بالرنين المغناطيسي
CT Scanner,Scanner CT,Escáner CT,CT-Gerät,جهاز التصوير المقطعي المحوسب
X-ray Machine,Appareil à rayons X,Máquina de rayos X,Röntgengerät,جهاز الأشعة السينية
Dialysis Machine,Machine de dialyse,Máquina de diálisis,Dialysegerät,جهاز غسيل الكلى
Endoscope,Endoscope,Endoscopio,Endoskop,منظار داخلي
Otoscope,Otoscope,Otoscopio,Otoskop,منظار الأذن
Ophthalmoscope,Ophtalmoscope,Oftalmoscopio,Ophthalmoskop,منظار العين
Laryngoscope,Laryngoscope,Laringoscopio,Laryngoskop,منظار الحنجرة
Anesthesia Machine,Machine d'anesthésie,Máquina de anestesia,Narkosegerät,جهاز التخدير
Autoclave,Autoclave,Autoclave,Autoklav,جهاز التعقيم الذاتي
Nebulizer,Nébuliseur,Nebulizador,Vernebler,جهاز البخار
CPAP Machine,Appareil CPAP,Máquina CPAP,CPAP-Gerät,جهاز ضغط المجرى الهوائي الإيجابي المستمر
Oxygen Concentrator,Concentrateur d'oxygène,Concentrador de oxígeno,Sauerstoffkonzentrator,مكثف الأكسجين
Suction Machine,Aspirateur,Máquina de succión,Absauggerät,جهاز شفط
Surgical Instrument,Instrument chirurgical,Instrumento quirúrgico,Chirurgisches Instrument,أداة جراحية
Scalpel,Scalpel,Bisturí,Skalpell,مشرط
Forceps,Forceps,Fórceps,Zange,ملقط
Surgical Scissors,Ciseaux chirurgicaux,Tijeras quirúrgicas,Operationsschere,مقص جراحي
Sterilizer,Stérilisateur,Esterilizador,Sterilisator,جهاز تعقيم
Blood Glucose Meter,Glucomètre,Medidor de glucosa en sangre,Blutzuckermessgerät,جهاز قياس نسبة السكر في الدم
Exam Table,Table d'examen,Mesa de examen,Untersuchungstisch,طاولة فحص
Medical Cart,Chariot médical,Carro médico,Medizinischer Wagen,عربة طبية
Surgical Light,Éclairage chirurgical,Luz quirúrgica,OP-Leuchte,ضوء جراحي
Microscope,Microscope,Microscopio,Mikroskop,مجهر
Medical Refrigerator,Réfrigérateur médical,Refrigerador médico,Medizinischer Kühlschrank,ثلاجة طبية
Patient Monitor,Moniteur patient,Monitor de paciente,Patientenmonitor,شاشة مراقبة المرضى
Spirometer,Spiromètre,Espirómetro,Spirometer,جهاز قياس التنفس
Laparoscope,Laparoscope,Laparoscopio,Laparoskop,منظار البطن
Pacemaker,Stimulateur cardiaque,Marcapasos,Herzschrittmacher,جهاز تنظيم ضربات القلب
Hearing Aid,Appareil auditif,Audífono,Hörgerät,سماعة الأذن
Medical Imaging,Imagerie médicale,Imágenes médicas,Medizinische Bildgebung,التصوير الطبي
Surgical Robot,Robot chirurgical,Robot quirúrgico,Operationsroboter,روبوت جراحي
First Aid Kit,Trousse de premiers secours,Botiquín de primeros auxilios,Erste-Hilfe-Kasten,حقيبة الإسعافات الأولية
Medical Software,Logiciel médical,Software médico,Medizinische Software,برنامج طبي
Telemedicine Platform,Plateforme de télémédecine,Plataforma de telemedicina,Telemedizin-Plattform,منصة الطب عن بعد
